🕘️更新时间,#genre#
2025-07-17 18:19:30,https://smart.pendy.dpdns.org/Smart.php

📺央视频道,#genre#
CCTV-1,https://smart.pendy.dpdns.org/Smart.php
CCTV-1,http://ali-m-l.cztv.com/channels/lantian/channel15/1080p.m3u8
CCTV-1,http://114.246.201.137:7088/rtp/239.3.1.129:8008
CCTV-1,http://36.56.217.138:4022/rtp/238.1.78.166:7200
CCTV-1,http://114.238.59.148:4000/rtp/239.49.8.19:9614
CCTV-1,http://114.238.59.2:4000/rtp/239.49.8.19:9614
CCTV-1,http://171.213.177.130:9999/rtp/239.93.0.58:5140
CCTV-1,http://111.196.128.15:20000/udp/239.3.1.129:8008
CCTV-1,http://60.168.109.225:4000/rtp/238.1.78.166:7200
CCTV-1,http://58.19.180.108:9981/stream/channelid/1198995092?profile=pass
CCTV-2,https://smart.pendy.dpdns.org/Smart.php
CCTV-2,http://220.169.100.41:10087/udp/239.76.253.152:9000
CCTV-2,http://36.56.217.138:4022/rtp/238.1.78.235:7752
CCTV-2,http://111.196.128.15:20000/udp/239.3.1.60:8084
CCTV-2,http://60.168.109.225:4000/rtp/238.1.78.235:7752
CCTV-2,http://omnix.cn:4000/udp/225.1.8.2:8084
CCTV-2,http://114.226.231.231:8787/rtp/239.49.8.50:9802
CCTV-2,http://27.18.157.225:2701/rtp/239.69.1.102:10250
CCTV-2,http://111.193.239.245:9999/rtp/239.3.1.60:8084
CCTV-2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XC8o6r&tk=SjuNLwyWodR0
CCTV-3,https://smart.pendy.dpdns.org/Smart.php
CCTV-3,http://36.56.217.138:4022/rtp/238.1.78.170:7232
CCTV-3,http://220.169.100.41:10087/udp/239.76.246.153:1234
CCTV-3,http://60.168.109.225:4000/rtp/238.1.78.170:7232
CCTV-3,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv3_1/index.m3u8
CCTV-3,http://171.213.177.130:9999/rtp/239.93.0.109:5140
CCTV-3,http://home.yulei.online:9999/rtp/226.0.2.208:9576
CCTV-3,http://guyue0227.eicp.net:35455/mgtv/624878271.m3u8
CCTV-3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JWAEKs&tk=SjuNLwyWodR0
CCTV-3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=23nVKZ&tk=SjuNLwyWodR0
CCTV-4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8
CCTV-4,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000503/index.m3u8
CCTV-4,https://smart.pendy.dpdns.org/Smart.php
CCTV-4,http://36.56.217.138:4022/rtp/238.1.78.236:7760
CCTV-4,http://171.213.177.130:9999/rtp/239.93.1.105:5140
CCTV-4,http://60.168.109.225:4000/rtp/238.1.78.236:7760
CCTV-4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Q0Ep8x&tk=SjuNLwyWodR0
CCTV-4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PRlTeA&tk=SjuNLwyWodR0
CCTV-4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV-4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV-5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV-5,http://[2409:8087:2001:20:2800:0:df6e:eb21]:80/PLTV/1/224/3221230976/1.m3u8
CCTV-5,http://[2409:8087:74f0:22::4]:6410/270000001111/1110000305/index.m3u8
CCTV-5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8
CCTV-5,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
